,A,C,G,T,m,g
0,-0.4040130689154075,-0.3253147999138892,-0.4301551252819823,0.17262362696886,-0.0042267918450976,-0.4421404783182543
1,-0.9869992834342236,-0.7981949919799676,1.1528553640577064,-1.256463264669889,0.1611970805075065,0.2943784582409534
2,-1.1878646299195803,-0.8262389733333649,1.2672587421545796,-0.8877748783346142,0.0228972924608801,0.1784958096829308
3,-0.9314539047033276,-1.0501361730928165,1.3522149045156855,-0.9040318095557648,0.0540336874313801,0.0461466581229991
4,-1.167521857135257,-0.4355347204441347,-0.5945209785384575,1.077761867474691,-0.2436517916458769,-0.0697591569930121
5,-1.2052801476225043,1.2634813324423262,-1.2181658559446071,-1.129184502357334,0.8935784893243911,-0.0376559531298345
6,-1.0477248088400122,-0.5865413052936658,0.8524989689002423,-1.0541575154033878,-0.291420996587729,0.6941190199346866
7,-1.2891248242119904,0.7970815780056137,-0.717454240129919,-0.5685767017738039,0.6559924934434925,-0.3111449426483657
8,-0.900067996051558,-0.8406823968949931,0.9779677141961632,-1.26181998699765,-0.1395044657170152,0.7308804941726736
9,0.180133145999428,-0.5181426537706193,0.5047617527463263,-1.1328543331818433,-0.1359388176570652,-0.3311857314340223
10,-0.1992413557453651,0.729273876809614,-0.9672392444895124,-0.690924232761618,-0.1889849976880355,-0.116110683426617
11,-0.9041503154344848,1.1251342291900053,-0.6031642693426584,-0.9781959365601705,-0.007315754117549,-0.0655345910347155
12,-1.0222428188119994,0.5844827263920982,-0.5622028098296235,-0.4562508852925117,0.1680876377508732,-0.1451004875015089
13,-0.0516278291386782,-0.4526501121472517,-0.2705376285574148,-0.2865270827245616,-0.434911951010128,0.0630279662933012
14,-0.2123318261362686,0.039770108134833,-0.333510018021809,-0.317364029617447,-0.1693185023714033,-0.4404723692717978
