,A,C,G,T,m,g
0,0.107674144774426,-0.0588356021718904,-0.0299453345776261,0.1339849994223543,-0.1338571485475352,-0.1728840590757179
1,-0.0182281873393325,-0.0422628336857312,-0.0035999062832559,0.1141627989769839,-0.0664239023445972,-0.1375109695100068
2,0.0675349890401226,0.0642247829853644,-0.1747969913752011,-0.0574612972977329,0.0124124996691023,-0.0657769832190829
3,-0.0469543733684171,0.0671762145336612,-0.1571644495226359,0.0729708944109071,-0.102334213794216,0.0124429276452744
4,0.180791540806132,-0.4232864282596086,0.1534624333522318,0.0901224520161791,-0.068271299170695,-0.0866816988723317
5,-0.065403818822394,-0.0424532001196783,0.228170629058535,-0.0261138413022301,-0.1683174091594318,-0.0797453597731856
6,0.0093193010312836,-0.1394718189954932,-0.1733897045097797,0.0263545450677886,0.2860779052767433,-0.1627532279886849
7,-0.2410537957831122,-0.6145338944615294,0.3173160445412227,0.1404627982364332,-0.079743063365418,0.3236889106963395
8,-0.2238022247692707,-0.4706915582414856,0.8267460736587907,-0.1786622804168483,-0.0723049657934517,-0.0351480445370483
9,0.0355524501163393,-0.6567509990024536,0.101562413254445,0.5693890137627646,-0.0996865167221527,-0.1039293615906973
10,0.1954773756020249,-0.331530332932235,-0.361776812929313,0.5116528216267149,-0.0521973534682066,-0.1154886980759142
11,-0.5765045099839515,0.8799548386228466,-0.5351585410943474,-0.1756140457193578,0.2224849732947813,0.0309742846680589
12,-0.4387771054700842,0.3716451604720426,-0.2513737795181172,-0.1816392376906878,0.2152934673908927,0.1309884945619053
13,-0.1058027349924988,-0.3599612615797527,0.7814929664942881,-0.6114458546417548,-0.1418549678790553,0.2837088524617001
14,0.3188937543639732,-0.1914387804052589,0.2901240552834817,-0.2507786056707753,-0.1009235492459227,-0.2197398744582896
